time,open,high,low,close,volume
2026-04-27 02:35:00,27429.5000,27438.2500,27427.2500,27434.0000,1453
2026-04-27 02:40:00,27433.5000,27440.5000,27422.2500,27439.7500,1977
2026-04-27 02:45:00,27440.0000,27446.7500,27436.7500,27445.7500,1476
2026-04-27 02:50:00,27445.7500,27445.7500,27432.7500,27440.0000,1219
2026-04-27 02:55:00,27440.5000,27444.2500,27430.2500,27434.5000,1065
2026-04-27 03:00:00,27434.2500,27443.7500,27419.0000,27435.5000,3273
2026-04-27 03:05:00,27435.0000,27435.2500,27410.5000,27416.5000,3738
2026-04-27 03:10:00,27415.7500,27428.7500,27407.7500,27425.7500,2535
2026-04-27 03:15:00,27425.5000,27428.0000,27414.7500,27426.2500,1204
2026-04-27 03:20:00,27425.2500,27435.7500,27419.5000,27430.7500,1337
2026-04-27 03:25:00,27430.2500,27431.0000,27414.2500,27418.5000,1449
2026-04-27 03:30:00,27418.5000,27424.5000,27408.7500,27417.0000,1899
2026-04-27 03:35:00,27418.0000,27423.0000,27407.2500,27420.7500,1572
2026-04-27 03:40:00,27420.7500,27425.7500,27417.2500,27421.0000,1101
2026-04-27 03:45:00,27421.2500,27430.0000,27419.7500,27420.7500,944
2026-04-27 03:50:00,27420.2500,27430.5000,27416.5000,27425.7500,1251
2026-04-27 03:55:00,27425.0000,27434.5000,27424.0000,27426.0000,1221
2026-04-27 04:00:00,27425.2500,27434.5000,27409.0000,27414.2500,2844
2026-04-27 04:05:00,27414.7500,27418.7500,27390.0000,27394.7500,3952
2026-04-27 04:10:00,27394.5000,27405.0000,27388.5000,27390.7500,2640
2026-04-27 04:15:00,27390.5000,27407.5000,27387.7500,27403.5000,1675
2026-04-27 04:20:00,27403.5000,27415.0000,27397.0000,27414.2500,1769
2026-04-27 04:25:00,27414.2500,27418.5000,27408.2500,27413.7500,1360
2026-04-27 04:30:00,27414.0000,27422.0000,27412.7500,27420.2500,1707
2026-04-27 04:35:00,27420.2500,27431.0000,27416.2500,27426.2500,1843
2026-04-27 04:40:00,27425.2500,27437.2500,27421.7500,27434.7500,1808
2026-04-27 04:45:00,27434.7500,27444.0000,27432.0000,27440.0000,2156
2026-04-27 04:50:00,27440.5000,27445.0000,27434.5000,27439.7500,1431
2026-04-27 04:55:00,27440.2500,27444.7500,27435.5000,27440.0000,993
2026-04-27 05:00:00,27440.2500,27448.5000,27438.0000,27443.5000,1713
2026-04-27 05:05:00,27443.0000,27445.5000,27436.0000,27438.0000,1032
2026-04-27 05:10:00,27437.5000,27451.2500,27436.5000,27447.7500,1269
2026-04-27 05:15:00,27448.0000,27455.0000,27445.5000,27448.5000,1739
2026-04-27 05:20:00,27448.0000,27449.5000,27441.2500,27444.2500,1225
2026-04-27 05:25:00,27444.5000,27453.7500,27442.5000,27451.2500,1075
2026-04-27 05:30:00,27451.0000,27459.5000,27449.0000,27457.7500,1467
2026-04-27 05:35:00,27457.0000,27458.2500,27447.2500,27452.5000,1424
