Strategy,Direction,EntryTime,ExitTime,EntryBarIndex,ExitBarIndex,EntryPrice,ExitPrice,BarsHeld,PnL,GrossPoints,NetPoints,GrossCurrency,NetCurrency,TotalCostCurrency,SlippageCostCurrency,SpreadCostCurrency,CommissionCostCurrency,Quantity,MFE,MAE,EntryReason,ExitReason,StopPrice,TargetPrice,RMultiple,RiskPoints,MAEPoints,MFEPoints,MAER,MFER,BestFavorablePrice,WorstAdversePrice,HitHalfR,HitOneR,HitOneAndHalfR,HitTwoR,HitThreeR,HitMinusHalfR,HitMinusOneR,BarsToHalfR,BarsToOneR,BarsToOneAndHalfR,BarsToTwoR,BarsToThreeR,BarsToMinusHalfR,BarsToMinusOneR
TradingBrain.Trend,Short,2025-07-31 09:30:00,2025-07-31 11:35:00,14145,14170,24384.75,24283,25,101.75,101.75,100.38,203.5,200.76,2.74,1,0.5,1.24,1,194.5,-26.75,"Trend down confirmado","Chandelier trail short",24447.55197171,0,1.62017206,62.80197171,26.75,194.5,0.42594204,3.09703652,24190.25,24411.5,true,true,true,true,true,false,false,1,3,16,17,21,,
TradingBrain.Trend,Short,2025-08-01 09:40:00,2025-08-01 10:30:00,14423,14433,23625.5,23715,10,-89.5,-89.5,-90.87,-179,-181.74,2.74,1,0.5,1.24,1,119.75,-103.5,"Trend down confirmado","Trend virou contra short",23739.76341282,0,-0.78327785,114.26341282,103.5,119.75,0.90580176,1.04801701,23505.75,23729,true,true,false,false,false,true,false,2,4,,,,9,
TradingBrain.Trend,Short,2025-08-05 10:30:00,2025-08-05 12:55:00,14637,14666,23957.25,23886.75,29,70.5,70.5,69.13,141,138.26,2.74,1,0.5,1.24,1,137.25,-4.25,"Trend down confirmado","Chandelier trail short",24048.62498673,0,0.77154594,91.37498673,4.25,137.25,0.04651163,1.5020522,23820,23961.5,true,true,true,false,false,false,false,2,3,14,,,,
TradingBrain.Trend,Short,2025-08-19 09:30:00,2025-08-19 11:30:00,16209,16233,24373.5,24293.5,24,80,80,78.63,160,157.26,2.74,1,0.5,1.24,1,153,-64,"Trend down confirmado","Chandelier trail short",24427.74678243,0,1.47474184,54.24678243,64,153,1.17979348,2.82044378,24220.5,24437.5,true,true,true,true,false,true,true,3,12,14,15,,1,2
TradingBrain.Trend,Short,2025-08-20 09:40:00,2025-08-20 11:05:00,16487,16504,24029.25,23829.75,17,199.5,199.5,198.13,399,396.26,2.74,1,0.5,1.24,1,287.5,-1.5,"Trend down confirmado","Chandelier trail short",24095.48680618,0,3.01192058,66.23680618,1.5,287.5,0.02264602,4.34048706,23741.75,24030.75,true,true,true,true,true,false,false,1,2,2,2,5,,
TradingBrain.Trend,Long,2025-08-20 11:20:00,2025-08-20 16:15:00,16507,16566,23921.5,24014.75,59,93.25,93.25,91.88,186.5,183.76,2.74,1,0.5,1.24,1,153.5,-62.5,"Trend up confirmado","Chandelier trail long",23805.33601635,0,0.80274451,116.16398365,62.5,153.5,0.53803251,1.32140785,24075,23859,true,true,false,false,false,true,false,12,48,,,,7,
TradingBrain.Trend,Long,2025-08-27 10:15:00,2025-08-27 15:05:00,17046,17104,24305.25,24315,58,9.75,9.75,8.38,19.5,16.76,2.74,1,0.5,1.24,1,58.75,-56.75,"Trend up confirmado","Trend virou contra long",24237.13157233,0,0.14313307,68.11842767,56.75,58.75,0.8331079,0.86246853,24364,24248.5,true,false,false,false,false,true,false,47,,,,,25,
TradingBrain.Trend,Long,2025-09-17 14:00:00,2025-09-17 14:10:00,19911,19913,24977.75,24789,2,-188.75,-188.75,-190.12,-377.5,-380.24,2.74,1,0.5,1.24,1,2.25,-189.25,"Trend up confirmado","Stop dinamico long",24913.54103908,0,-2.93962085,64.20896092,189.25,2.25,2.94740792,0.03504184,24980,24788.5,false,false,false,false,false,true,true,,,,,,1,1
TradingBrain.Trend,Long,2025-09-18 10:05:00,2025-09-18 20:15:00,20140,20250,25214.25,25182.75,110,-31.5,-31.5,-32.87,-63,-65.74,2.74,1,0.5,1.24,1,66.5,-64.5,"Trend up confirmado","Stop dinamico long",25123.2247007,0,-0.34605764,91.0252993,64.5,66.5,0.70859421,0.73056612,25280.75,25149.75,true,false,false,false,false,true,false,5,,,,,68,
TradingBrain.Trend,Long,2025-09-19 12:10:00,2025-09-19 16:45:00,20441,20496,25271,25326.5,55,55.5,55.5,54.13,111,108.26,2.74,1,0.5,1.24,1,82,-9.75,"Trend up confirmado","Chandelier trail long",25209.10607641,0,0.89669546,61.89392359,9.75,82,0.15752758,1.32484734,25353,25261.25,true,true,false,false,false,false,false,34,44,,,,,
TradingBrain.Trend,Short,2025-09-24 09:45:00,2025-09-24 12:20:00,20892,20923,25270.5,25158.25,31,112.25,112.25,110.88,224.5,221.76,2.74,1,0.5,1.24,1,177.5,-35.5,"Trend down confirmado","Chandelier trail short",25320.92840507,0,2.22592802,50.42840507,35.5,177.5,0.70396833,3.51984164,25093,25306,true,true,true,true,true,true,false,17,24,24,26,28,3,
